Institution,Conference,G,BA,OBPct,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OppDP,CS,Picked,SB,IBB,RBI2out
San Diego St.,Mountain West,42,0.252,0.354,195,"1,402",353,51,10,484,20,173,178,50,13,22,321,26,25,8,66,5,
San Francisco,WCC,44,0.247,0.355,248,"1,517",375,85,9,598,40,228,188,73,12,12,456,18,23,10,78,5,
San Jose St.,Mountain West,41,0.275,0.371,280,"1,431",394,79,9,650,53,251,179,48,14,8,351,29,15,7,25,4,
Santa Clara,WCC,39,0.273,0.365,227,"1,337",365,75,19,535,19,203,151,51,13,16,327,23,13,3,38,2,
Seattle U,WAC,36,0.284,0.365,197,"1,273",362,59,12,526,27,178,143,27,16,12,292,32,10,4,24,,
Seton Hall,Big East,41,0.252,0.336,164,"1,374",346,62,11,469,13,146,139,38,7,26,343,27,12,7,48,,
SFA,WAC,37,0.272,0.361,192,"1,249",340,50,8,496,30,167,140,40,13,17,327,18,17,2,50,2,
Siena,MAAC,36,0.249,0.351,196,"1,231",307,74,5,463,24,170,149,49,11,9,361,20,9,5,21,3,
SIUE,OVC,37,0.295,0.375,283,"1,273",375,73,7,669,69,265,134,36,10,10,315,24,8,3,32,1,
South Alabama,Sun Belt,39,0.289,0.395,271,"1,377",398,78,13,589,29,245,199,52,14,26,259,32,13,3,39,2,
